Sample	Population	Superpopulation	Relationship
HG03369	ESN	AFR	mother
HG03370	ESN	AFR	father
HG03371	ESN	AFR	child
HG03372	ESN	AFR	mother
HG03373	ESN	AFR	father
HG03374	ESN	AFR	child
HG03376	MSL	AFR	father
HG03378	MSL	AFR	unrel
HG03380	MSL	AFR	mother
HG03381	MSL	AFR	child
HG03382	MSL	AFR	father
HG03383	MSL	AFR	unrel
HG03384	MSL	AFR	child
HG03385	MSL	AFR	father
HG03388	MSL	AFR	father
HG03390	MSL	AFR	child
HG03391	MSL	AFR	father
HG03393	MSL	AFR	unrel
HG03394	MSL	AFR	father
HG03397	MSL	AFR	unrel
HG03398	MSL	AFR	unrel
HG03399	MSL	AFR	Child2
HG03401	MSL	AFR	mother
HG03402	MSL	AFR	child
HG03408	MSL	AFR	child
HG03410	MSL	AFR	mother
HG03411	MSL	AFR	child
HG03419	MSL	AFR	mother
HG03428	MSL	AFR	mother
HG03431	MSL	AFR	unrel
HG03432	MSL	AFR	unrel
HG03433	MSL	AFR	unrel
HG03436	MSL	AFR	unrel
HG03437	MSL	AFR	unrel
HG03438	MSL	AFR	child
HG03439	MSL	AFR	father
HG03442	MSL	AFR	unrel
HG03445	MSL	AFR	unrel
HG03446	MSL	AFR	unrel
HG03449	MSL	AFR	mother
HG03450	MSL	AFR	child
HG03451	MSL	AFR	father
HG03452	MSL	AFR	mother
HG03453	MSL	AFR	child
HG03454	MSL	AFR	father
HG03455	MSL	AFR	mother
HG03456	MSL	AFR	child
HG03457	MSL	AFR	unrel
HG03458	MSL	AFR	mother
HG03459	MSL	AFR	child
HG03460	MSL	AFR	unrel
HG03461	MSL	AFR	unrel
HG03462	MSL	AFR	unrel
HG03464	MSL	AFR	mother
HG03465	MSL	AFR	child
HG03466	MSL	AFR	paternal father
HG03468	MSL	AFR	paternal brother
HG03469	MSL	AFR	father
HG03470	MSL	AFR	mother
HG03471	MSL	AFR	Child2
HG03472	MSL	AFR	unrel
HG03473	MSL	AFR	mother
HG03474	MSL	AFR	child
HG03476	MSL	AFR	mother
HG03477	MSL	AFR	child
HG03478	MSL	AFR	father
HG03479	MSL	AFR	mother
HG03480	MSL	AFR	child
HG03484	MSL	AFR	father
HG03485	MSL	AFR	mother
HG03486	MSL	AFR	child
HG03487	PJL	SAS	father
HG03488	PJL	SAS	mother
HG03489	PJL	SAS	child
HG03490	PJL	SAS	father
HG03491	PJL	SAS	mother
HG03492	PJL	SAS	child
HG03493	ESN	AFR	mother
HG03499	ESN	AFR	nan
HG03508	ESN	AFR	mother
HG03510	ESN	AFR	child
HG03511	ESN	AFR	mother
HG03513	ESN	AFR	child
HG03514	ESN	AFR	mother
HG03515	ESN	AFR	father
HG03516	ESN	AFR	child
HG03517	ESN	AFR	mother
HG03518	ESN	AFR	father
HG03519	ESN	AFR	child
HG03520	ESN	AFR	mother
HG03521	ESN	AFR	father
HG03522	ESN	AFR	child
HG03538	GWD	AFR	father
HG03539	GWD	AFR	mother
HG03540	GWD	AFR	child
HG03547	MSL	AFR	unrel
HG03548	MSL	AFR	unrel
HG03549	MSL	AFR	unrel
HG03556	MSL	AFR	unrel
HG03557	MSL	AFR	unrel
HG03558	MSL	AFR	unrel
HG03559	MSL	AFR	father
HG03563	MSL	AFR	mother
HG03564	MSL	AFR	child
HG03565	MSL	AFR	unrel
HG03566	MSL	AFR	unrel
HG03567	MSL	AFR	unrel
HG03569	MSL	AFR	mother
HG03571	MSL	AFR	father
HG03572	MSL	AFR	mother
HG03574	MSL	AFR	father
HG03575	MSL	AFR	mother
HG03576	MSL	AFR	child
HG03577	MSL	AFR	father
HG03578	MSL	AFR	mother
HG03579	MSL	AFR	child
HG03582	MSL	AFR	father
HG03583	MSL	AFR	mother
HG03584	MSL	AFR	child
HG03585	BEB	SAS	father
HG03587	BEB	SAS	child
HG03589	BEB	SAS	mother
HG03590	BEB	SAS	child
HG03593	BEB	SAS	child
HG03594	BEB	SAS	father
HG03595	BEB	SAS	mother
HG03596	BEB	SAS	child
HG03598	BEB	SAS	mother
HG03599	BEB	SAS	child
HG03600	BEB	SAS	father
HG03602	BEB	SAS	child
HG03603	BEB	SAS	father
HG03604	BEB	SAS	mother
HG03605	BEB	SAS	child
HG03606	BEB	SAS	father
HG03607	BEB	SAS	mother
HG03611	BEB	SAS	child
HG03615	BEB	SAS	father
HG03616	BEB	SAS	mother
HG03617	BEB	SAS	child
HG03618	PJL	SAS	father
HG03619	PJL	SAS	mother
HG03620	PJL	SAS	child
HG03621	PJL	SAS	father
HG03624	PJL	SAS	father
HG03625	PJL	SAS	mother
HG03626	PJL	SAS	child
HG03629	PJL	SAS	child
HG03631	PJL	SAS	mother
HG03633	PJL	SAS	father
HG03634	PJL	SAS	mother
HG03635	PJL	SAS	child
HG03636	PJL	SAS	father
HG03638	PJL	SAS	child
HG03639	PJL	SAS	father
HG03640	PJL	SAS	mother
HG03641	PJL	SAS	child
HG03642	STU	SAS	mother
HG03643	STU	SAS	mother
HG03644	STU	SAS	father
HG03645	STU	SAS	mother
HG03646	STU	SAS	father
HG03649	PJL	SAS	father
HG03650	PJL	SAS	mother
HG03651	PJL	SAS	child
HG03652	PJL	SAS	father
HG03653	PJL	SAS	mother
HG03654	PJL	SAS	child
HG03656	PJL	SAS	mother
HG03657	PJL	SAS	child
HG03660	PJL	SAS	child
HG03663	PJL	SAS	child
HG03667	PJL	SAS	father
HG03668	PJL	SAS	mother
HG03669	PJL	SAS	child
HG03672	STU	SAS	husband of Child
HG03673	STU	SAS	mother
HG03679	STU	SAS	father
HG03680	STU	SAS	father
HG03681	STU	SAS	father
HG03682	STU	SAS	father
HG03683	STU	SAS	child
HG03684	STU	SAS	mother
HG03685	STU	SAS	father
HG03686	STU	SAS	father
HG03687	STU	SAS	father
HG03688	STU	SAS	child
HG03689	STU	SAS	mother
HG03690	STU	SAS	mother
HG03691	STU	SAS	father
HG03692	STU	SAS	mother
HG03693	STU	SAS	father
HG03694	STU	SAS	father
HG03695	STU	SAS	father
HG03696	STU	SAS	father
HG03697	STU	SAS	father
HG03698	STU	SAS	mother
HG03699	PJL	SAS	father
HG03700	PJL	SAS	mother
HG03701	PJL	SAS	child
HG03702	PJL	SAS	father
HG03703	PJL	SAS	mother
HG03704	PJL	SAS	child
HG03705	PJL	SAS	father
HG03706	PJL	SAS	mother
HG03707	PJL	SAS	child
HG03708	PJL	SAS	father
HG03709	PJL	SAS	mother
HG03710	PJL	SAS	child
HG03711	STU	SAS	father
HG03713	ITU	SAS	father
HG03714	ITU	SAS	mother
HG03715	ITU	SAS	child
HG03716	ITU	SAS	father
HG03717	ITU	SAS	mother
HG03718	ITU	SAS	father
HG03719	ITU	SAS	child
HG03720	ITU	SAS	father
HG03721	ITU	SAS	mother
HG03722	ITU	SAS	mother
HG03723	ITU	SAS	mother
HG03725	ITU	SAS	father
HG03727	ITU	SAS	father
HG03729	ITU	SAS	father
HG03730	ITU	SAS	mother
HG03731	ITU	SAS	mother
HG03732	ITU	SAS	child
HG03733	STU	SAS	child
HG03736	STU	SAS	mother
HG03738	STU	SAS	father
HG03740	STU	SAS	father
HG03741	STU	SAS	mother
HG03742	ITU	SAS	father
HG03743	STU	SAS	father
HG03744	STU	SAS	father
HG03745	STU	SAS	father
HG03746	STU	SAS	father
HG03750	STU	SAS	father
HG03752	STU	SAS	mother
HG03753	STU	SAS	father
HG03754	STU	SAS	mother
HG03755	STU	SAS	father
HG03756	STU	SAS	mother
HG03757	STU	SAS	mother
HG03760	STU	SAS	mother
HG03761	PJL	SAS	father
HG03762	PJL	SAS	mother
HG03763	PJL	SAS	child
HG03765	PJL	SAS	mother
HG03766	PJL	SAS	child
HG03767	PJL	SAS	father
HG03769	PJL	SAS	child
HG03770	ITU	SAS	mother
HG03771	ITU	SAS	father
HG03772	ITU	SAS	mother
HG03773	ITU	SAS	father
HG03774	ITU	SAS	mother
HG03775	ITU	SAS	father
HG03777	ITU	SAS	father
HG03778	ITU	SAS	father
HG03779	ITU	SAS	father
HG03780	ITU	SAS	mother
HG03781	ITU	SAS	mother
HG03782	ITU	SAS	mother
HG03783	ITU	SAS	child
HG03784	ITU	SAS	mother
HG03785	ITU	SAS	father
HG03786	ITU	SAS	father
HG03787	ITU	SAS	mother
HG03788	ITU	SAS	father
HG03789	ITU	SAS	mother
HG03790	ITU	SAS	father
HG03792	ITU	SAS	father
HG03793	BEB	SAS	mother
HG03794	BEB	SAS	father
HG03795	BEB	SAS	child
HG03796	BEB	SAS	mother
HG03797	BEB	SAS	father
HG03798	BEB	SAS	child
HG03799	BEB	SAS	mother
HG03800	BEB	SAS	father
HG03801	BEB	SAS	child
HG03802	BEB	SAS	mother
HG03803	BEB	SAS	father
HG03804	BEB	SAS	child
HG03805	BEB	SAS	mother
HG03806	BEB	SAS	father
HG03807	BEB	SAS	child
HG03808	BEB	SAS	mother
HG03809	BEB	SAS	father
HG03811	BEB	SAS	mother
HG03812	BEB	SAS	unrel
HG03813	BEB	SAS	child
HG03814	BEB	SAS	mother
HG03815	BEB	SAS	father
HG03816	BEB	SAS	child
HG03817	BEB	SAS	mother
HG03821	BEB	SAS	father
HG03822	BEB	SAS	child
HG03823	BEB	SAS	mother
HG03824	BEB	SAS	father
HG03825	BEB	SAS	child
HG03826	BEB	SAS	mother
HG03829	BEB	SAS	mother
HG03830	BEB	SAS	father
HG03831	BEB	SAS	child
HG03832	BEB	SAS	mother
HG03833	BEB	SAS	father
HG03834	BEB	SAS	child
HG03835	STU	SAS	Child2
HG03836	STU	SAS	mother
HG03837	STU	SAS	father
HG03838	STU	SAS	mother
HG03840	STU	SAS	child
HG03842	STU	SAS	mother
HG03844	STU	SAS	father
HG03845	STU	SAS	father
HG03846	STU	SAS	child
HG03847	STU	SAS	father
HG03848	STU	SAS	father
HG03849	STU	SAS	mother
HG03850	STU	SAS	father
HG03851	STU	SAS	father
HG03854	STU	SAS	father
HG03856	STU	SAS	father
HG03857	STU	SAS	mother
HG03858	STU	SAS	mother
HG03861	ITU	SAS	mother
HG03862	ITU	SAS	mother
HG03863	ITU	SAS	mother
HG03864	ITU	SAS	father
HG03866	ITU	SAS	father
HG03867	ITU	SAS	father
HG03868	ITU	SAS	child
HG03869	ITU	SAS	father
HG03870	ITU	SAS	father
HG03871	ITU	SAS	unrel
HG03872	ITU	SAS	father
HG03873	ITU	SAS	mother
HG03874	ITU	SAS	mother
HG03875	ITU	SAS	father
HG03876	ITU	SAS	child
HG03879	ITU	SAS	Child2
HG03882	ITU	SAS	wife of child
HG03884	STU	SAS	mother
HG03885	STU	SAS	father
HG03886	STU	SAS	mother
HG03887	STU	SAS	father
HG03888	STU	SAS	mother
HG03890	STU	SAS	father
HG03894	STU	SAS	mother
HG03895	STU	SAS	mother
HG03896	STU	SAS	father
HG03897	STU	SAS	mother
HG03898	STU	SAS	mother
HG03899	STU	SAS	father
HG03900	STU	SAS	father
HG03901	BEB	SAS	mother
HG03902	BEB	SAS	unrel
HG03903	BEB	SAS	child
HG03904	BEB	SAS	mother
HG03905	BEB	SAS	father
HG03906	BEB	SAS	child
HG03907	BEB	SAS	mother
HG03908	BEB	SAS	father
HG03909	BEB	SAS	child
HG03910	BEB	SAS	mother
HG03911	BEB	SAS	father
HG03913	BEB	SAS	mother
HG03914	BEB	SAS	father
HG03915	BEB	SAS	child
HG03916	BEB	SAS	unrel
HG03917	BEB	SAS	father
HG03919	BEB	SAS	mother
HG03920	BEB	SAS	father
HG03922	BEB	SAS	mother
HG03924	BEB	SAS	child
HG03925	BEB	SAS	mother
HG03926	BEB	SAS	father
HG03927	BEB	SAS	child
HG03928	BEB	SAS	mother
HG03929	BEB	SAS	father
HG03930	BEB	SAS	child
HG03931	BEB	SAS	mother
HG03934	BEB	SAS	mother
HG03937	BEB	SAS	mother
HG03939	BEB	SAS	child
HG03940	BEB	SAS	mother
HG03941	BEB	SAS	father
HG03942	BEB	SAS	child
HG03943	STU	SAS	father
HG03944	STU	SAS	mother
HG03945	STU	SAS	mother
HG03947	STU	SAS	mother
HG03948	STU	SAS	Child2
HG03949	STU	SAS	mother
HG03950	STU	SAS	father
HG03951	STU	SAS	mother
HG03953	STU	SAS	father
HG03955	STU	SAS	mother
HG03960	ITU	SAS	father
HG03963	ITU	SAS	father
HG03965	ITU	SAS	father
HG03967	ITU	SAS	nan
HG03968	ITU	SAS	mother
HG03969	ITU	SAS	father
HG03971	ITU	SAS	father
HG03972	ITU	SAS	mother
HG03973	ITU	SAS	mother
HG03974	ITU	SAS	father
HG03976	ITU	SAS	father
HG03977	ITU	SAS	mother
HG03978	ITU	SAS	father
HG03982	STU	SAS	father
HG03985	STU	SAS	father
HG03986	STU	SAS	mother
HG03988	STU	SAS	father
HG03989	STU	SAS	mother
HG03990	STU	SAS	father
HG03991	STU	SAS	father
HG03992	STU	SAS	child
HG03995	STU	SAS	mother
HG03998	STU	SAS	father
HG03999	STU	SAS	child
HG04001	ITU	SAS	mother
HG04002	ITU	SAS	father
HG04003	STU	SAS	father
HG04006	STU	SAS	father
HG04014	ITU	SAS	mother
HG04015	ITU	SAS	father
HG04017	ITU	SAS	father
HG04018	ITU	SAS	mother
HG04019	ITU	SAS	father
HG04020	ITU	SAS	father
HG04022	ITU	SAS	father
HG04023	ITU	SAS	father
HG04024	ITU	SAS	mother
HG04025	ITU	SAS	mother
HG04026	ITU	SAS	mother
HG04029	STU	SAS	mother
HG04033	STU	SAS	father
HG04035	STU	SAS	mother
HG04036	STU	SAS	Child2
HG04037	STU	SAS	mother
HG04038	STU	SAS	mother
HG04039	STU	SAS	father
HG04040	STU	SAS	child
HG04042	STU	SAS	mother
HG04047	STU	SAS	mother
HG04050	ITU	SAS	mother
HG04053	ITU	SAS	father
HG04054	ITU	SAS	mother
HG04055	ITU	SAS	father
HG04056	ITU	SAS	father
HG04058	ITU	SAS	father
HG04059	ITU	SAS	mother
HG04060	ITU	SAS	father
HG04061	ITU	SAS	father
HG04062	ITU	SAS	mother
HG04063	ITU	SAS	mother
HG04067	STU	SAS	maternal grandmother
HG04070	ITU	SAS	mother
HG04075	STU	SAS	mother
HG04076	ITU	SAS	mother
HG04080	ITU	SAS	father
HG04090	ITU	SAS	mother
HG04093	ITU	SAS	father
HG04094	ITU	SAS	father
HG04096	ITU	SAS	father
HG04098	ITU	SAS	father
HG04099	STU	SAS	mother
HG04100	STU	SAS	father
HG04106	STU	SAS	mother
HG04107	STU	SAS	father
HG04114	STU	SAS	child
HG04115	STU	SAS	child
HG04118	ITU	SAS	mother
HG04122	STU	SAS	child
HG04127	STU	SAS	father
HG04128	BEB	SAS	father
HG04131	BEB	SAS	father
HG04132	BEB	SAS	mother
HG04133	BEB	SAS	child
HG04134	BEB	SAS	father
HG04135	BEB	SAS	mother
HG04136	BEB	SAS	child
HG04140	BEB	SAS	father
HG04141	BEB	SAS	mother
HG04142	BEB	SAS	child
HG04144	BEB	SAS	mother
HG04146	BEB	SAS	father
HG04147	BEB	SAS	mother
HG04148	BEB	SAS	child
HG04149	BEB	SAS	father
HG04150	BEB	SAS	mother
HG04151	BEB	SAS	child
HG04152	BEB	SAS	father
HG04153	BEB	SAS	mother
HG04155	BEB	SAS	father
HG04156	BEB	SAS	mother
HG04157	BEB	SAS	child
HG04158	BEB	SAS	father
HG04159	BEB	SAS	mother
HG04160	BEB	SAS	child
HG04161	BEB	SAS	father
HG04162	BEB	SAS	mother
HG04164	BEB	SAS	father
HG04171	BEB	SAS	mother
HG04173	BEB	SAS	father
HG04174	BEB	SAS	mother
HG04175	BEB	SAS	child
HG04176	BEB	SAS	father
HG04177	BEB	SAS	mother
HG04180	BEB	SAS	mother
HG04181	BEB	SAS	child
HG04182	BEB	SAS	father
HG04183	BEB	SAS	mother
HG04184	BEB	SAS	child
HG04185	BEB	SAS	father
HG04186	BEB	SAS	mother
HG04187	BEB	SAS	child
HG04188	BEB	SAS	father
HG04189	BEB	SAS	mother
HG04191	BEB	SAS	father
HG04192	BEB	SAS	mother
HG04193	BEB	SAS	child
HG04194	BEB	SAS	father
HG04195	BEB	SAS	mother
HG04197	STU	SAS	child
HG04198	ITU	SAS	father
HG04199	STU	SAS	child
HG04200	ITU	SAS	mother
HG04202	ITU	SAS	mother
HG04204	STU	SAS	child
HG04206	ITU	SAS	unrel
HG04208	STU	SAS	child
HG04209	ITU	SAS	mother
HG04210	STU	SAS	father
HG04211	ITU	SAS	father
HG04212	ITU	SAS	mother
HG04214	ITU	SAS	mother
HG04215	STU	SAS	Child2
HG04216	ITU	SAS	mother
HG04217	ITU	SAS	child
HG04219	ITU	SAS	child
HG04222	ITU	SAS	father
HG04225	ITU	SAS	father
HG04227	STU	SAS	mother
HG04228	STU	SAS	child
HG04229	STU	SAS	father
HG04235	ITU	SAS	father
HG04238	ITU	SAS	father
HG04239	ITU	SAS	unrel
HG04301	GBR	EUR	nan
HG04302	GBR	EUR	nan
HG04303	GBR	EUR	nan
NA06984	CEU	EUR	father
NA06985	CEU	EUR	mat grandmother
NA06986	CEU	EUR	mat grandfather
NA06989	CEU	EUR	mother
NA06991	CEU	EUR	mother
NA06993	CEU	EUR	mat grandfather
NA06994	CEU	EUR	pat grandfather
NA06995	CEU	EUR	father
NA06997	CEU	EUR	mother
NA07000	CEU	EUR	pat grandmother
NA07014	CEU	EUR	mother
NA07019	CEU	EUR	mother
NA07022	CEU	EUR	mat grandfather
NA07029	CEU	EUR	father
NA07031	CEU	EUR	mat grandmother
NA07034	CEU	EUR	pat grandfather
NA07037	CEU	EUR	pat grandmother
NA07045	CEU	EUR	mat grandmother
NA07048	CEU	EUR	father
NA07051	CEU	EUR	mat grandfather
NA07055	CEU	EUR	pat grandmother
NA07056	CEU	EUR	mat grandmother
NA07340	CEU	EUR	pat grandmother
NA07345	CEU	EUR	mat grandmother
NA07346	CEU	EUR	pat grandmother
NA07347	CEU	EUR	pat grandfather
NA07348	CEU	EUR	mother
NA07349	CEU	EUR	father
NA07357	CEU	EUR	mat grandfather
NA07435	CEU	EUR	pat grandfather
NA10830	CEU	EUR	father
NA10831	CEU	EUR	mother
NA10835	CEU	EUR	father
NA10836	CEU	EUR	mother
NA10837	CEU	EUR	father
NA10838	CEU	EUR	father
NA10839	CEU	EUR	mother
NA10840	CEU	EUR	mother
NA10842	CEU	EUR	father
NA10843	CEU	EUR	mother
NA10845	CEU	EUR	father
NA10846	CEU	EUR	father
NA10847	CEU	EUR	mother
NA10850	CEU	EUR	mother
NA10851	CEU	EUR	father
NA10852	CEU	EUR	mother
NA10853	CEU	EUR	father
NA10854	CEU	EUR	mother
NA10855	CEU	EUR	mother
NA10856	CEU	EUR	father
NA10857	CEU	EUR	father
NA10859	CEU	EUR	mother
NA10860	CEU	EUR	father
NA10861	CEU	EUR	mother
NA10863	CEU	EUR	mother
NA10864	CEU	EUR	mother
NA10865	CEU	EUR	father
NA11829	CEU	EUR	pat grandfather
NA11830	CEU	EUR	pat grandmother
NA11831	CEU	EUR	mat grandfather
NA11832	CEU	EUR	mat grandmother
NA11839	CEU	EUR	mat grandfather
NA11840	CEU	EUR	mat grandmother
NA11843	CEU	EUR	pat grandfather
NA11881	CEU	EUR	mat grandfather
NA11882	CEU	EUR	mat grandmother
NA11891	CEU	EUR	pat grandfather
NA11892	CEU	EUR	pat grandmother
NA11893	CEU	EUR	mat grandfather
NA11894	CEU	EUR	mat grandmother
NA11917	CEU	EUR	pat grandfather
NA11918	CEU	EUR	pat grandmother
NA11919	CEU	EUR	mat grandfather
NA11920	CEU	EUR	mat grandmother
NA11930	CEU	EUR	pat grandfather
NA11931	CEU	EUR	pat grandmother
NA11932	CEU	EUR	mat grandfather
NA11933	CEU	EUR	mat grandmother
NA11992	CEU	EUR	pat grandfather
NA11993	CEU	EUR	pat grandmother
NA11994	CEU	EUR	mat grandfather
NA11995	CEU	EUR	mat grandmother
NA12003	CEU	EUR	pat grandfather
NA12004	CEU	EUR	pat grandmother
NA12005	CEU	EUR	mat grandfather
NA12006	CEU	EUR	mat grandmother
NA12043	CEU	EUR	pat grandfather
NA12044	CEU	EUR	pat grandmother
NA12045	CEU	EUR	mat grandfather
NA12046	CEU	EUR	mat grandmother
NA12056	CEU	EUR	pat grandfather
NA12057	CEU	EUR	pat grandmother
NA12058	CEU	EUR	mat grandmother
NA12144	CEU	EUR	pat grandfather
NA12145	CEU	EUR	pat grandmother
NA12146	CEU	EUR	mat grandfather
NA12154	CEU	EUR	pat grandfather
NA12155	CEU	EUR	mat grandfather
NA12156	CEU	EUR	mat grandmother
NA12234	CEU	EUR	mat grandmother
NA12239	CEU	EUR	mat grandmother
NA12248	CEU	EUR	pat grandfather
NA12249	CEU	EUR	pat grandmother
NA12264	CEU	EUR	mat grandfather
NA12272	CEU	EUR	pat grandfather
NA12273	CEU	EUR	pat grandmother
NA12274	CEU	EUR	mat grandfather
NA12275	CEU	EUR	mat grandmother
NA12282	CEU	EUR	pat grandfather
NA12283	CEU	EUR	pat grandmother
NA12286	CEU	EUR	mat grandfather
NA12287	CEU	EUR	mat grandmother
NA12329	CEU	EUR	daughter
NA12335	CEU	EUR	father
NA12336	CEU	EUR	mother
NA12340	CEU	EUR	pat grandfather
NA12341	CEU	EUR	pat grandmother
NA12342	CEU	EUR	mat grandfather
NA12343	CEU	EUR	mat grandmother
NA12344	CEU	EUR	father
NA12347	CEU	EUR	pat grandfather
NA12348	CEU	EUR	pat grandmother
NA12375	CEU	EUR	father
NA12376	CEU	EUR	mother
NA12383	CEU	EUR	pat grandmother
NA12386	CEU	EUR	mother
NA12399	CEU	EUR	mat grandfather
NA12400	CEU	EUR	mat grandmother
NA12413	CEU	EUR	pat grandfather
NA12414	CEU	EUR	pat grandmother
NA12485	CEU	EUR	father
NA12489	CEU	EUR	mat grandmother
NA12546	CEU	EUR	mat grandfather
NA12707	CEU	EUR	father
NA12708	CEU	EUR	mother
NA12716	CEU	EUR	pat grandfather
NA12717	CEU	EUR	pat grandmother
NA12718	CEU	EUR	mat grandmother
NA12739	CEU	EUR	father
NA12740	CEU	EUR	mother
NA12748	CEU	EUR	pat grandfather
NA12749	CEU	EUR	pat grandmother
NA12750	CEU	EUR	mat grandfather
NA12751	CEU	EUR	mat grandmother
NA12752	CEU	EUR	father
NA12753	CEU	EUR	mother
NA12760	CEU	EUR	pat grandfather
NA12761	CEU	EUR	pat grandmother
NA12762	CEU	EUR	mat grandfather
NA12763	CEU	EUR	mat grandmother
NA12766	CEU	EUR	father
NA12767	CEU	EUR	mother
NA12775	CEU	EUR	pat grandfather
NA12776	CEU	EUR	pat grandmother
NA12777	CEU	EUR	mat grandfather
NA12778	CEU	EUR	mat grandmother
NA12801	CEU	EUR	father
NA12802	CEU	EUR	mother
NA12812	CEU	EUR	pat grandfather
NA12813	CEU	EUR	pat grandmother
NA12814	CEU	EUR	mat grandfather
NA12815	CEU	EUR	mat grandmother
NA12817	CEU	EUR	father
NA12818	CEU	EUR	mother
NA12827	CEU	EUR	pat grandfather
NA12828	CEU	EUR	pat grandmother
NA12829	CEU	EUR	mat grandfather
NA12830	CEU	EUR	mat grandmother
NA12832	CEU	EUR	mother
NA12842	CEU	EUR	mat grandfather
NA12843	CEU	EUR	mat grandmother
NA12864	CEU	EUR	father
NA12865	CEU	EUR	mother
NA12872	CEU	EUR	pat grandfather
NA12873	CEU	EUR	pat grandmother
NA12874	CEU	EUR	mat grandfather
NA12875	CEU	EUR	mat grandmother
NA12877	CEU	EUR	father; child
NA12878	CEU	EUR	mother; child
NA12889	CEU	EUR	pat grandfather; father
NA12890	CEU	EUR	pat grandmother; mother
NA12891	CEU	EUR	mat grandfather; father
NA12892	CEU	EUR	mat grandmother; mother
NA18484	YRI	AFR	child
NA18485	YRI	AFR	child
NA18486	YRI	AFR	father
NA18487	YRI	AFR	father
NA18488	YRI	AFR	mother
NA18489	YRI	AFR	mother
NA18497	YRI	AFR	child
NA18498	YRI	AFR	father
NA18499	YRI	AFR	mother
NA18500	YRI	AFR	child
NA18501	YRI	AFR	father
NA18502	YRI	AFR	mother
NA18503	YRI	AFR	child
NA18504	YRI	AFR	father
NA18505	YRI	AFR	mother
NA18506	YRI	AFR	child
NA18507	YRI	AFR	father
NA18508	YRI	AFR	mother
NA18509	YRI	AFR	child
NA18510	YRI	AFR	not father
NA18511	YRI	AFR	mother
NA18515	YRI	AFR	child
NA18516	YRI	AFR	father
NA18517	YRI	AFR	mother
NA18518	YRI	AFR	child
NA18519	YRI	AFR	father
NA18520	YRI	AFR	mother
NA18521	YRI	AFR	child
NA18522	YRI	AFR	father
NA18523	YRI	AFR	mother
NA18525	CHB	EAS	nan
NA18526	CHB	EAS	nan
NA18527	CHB	EAS	nan
NA18528	CHB	EAS	nan
NA18530	CHB	EAS	nan
NA18531	CHB	EAS	nan
NA18532	CHB	EAS	nan
NA18533	CHB	EAS	nan
NA18534	CHB	EAS	nan
NA18535	CHB	EAS	nan
NA18536	CHB	EAS	nan
NA18537	CHB	EAS	nan
NA18538	CHB	EAS	nan
NA18539	CHB	EAS	nan
NA18541	CHB	EAS	nan
NA18542	CHB	EAS	nan
NA18543	CHB	EAS	nan
NA18544	CHB	EAS	nan
NA18545	CHB	EAS	nan
NA18546	CHB	EAS	nan
NA18547	CHB	EAS	nan
NA18548	CHB	EAS	nan
NA18549	CHB	EAS	nan
NA18550	CHB	EAS	nan
NA18552	CHB	EAS	nan
NA18553	CHB	EAS	nan
NA18555	CHB	EAS	nan
NA18557	CHB	EAS	nan
NA18558	CHB	EAS	nan
NA18559	CHB	EAS	nan
NA18560	CHB	EAS	nan
NA18561	CHB	EAS	nan
NA18562	CHB	EAS	nan
NA18563	CHB	EAS	nan
NA18564	CHB	EAS	nan
NA18565	CHB	EAS	nan
NA18566	CHB	EAS	nan
NA18567	CHB	EAS	nan
NA18570	CHB	EAS	nan
NA18571	CHB	EAS	nan
NA18572	CHB	EAS	nan
NA18573	CHB	EAS	nan
NA18574	CHB	EAS	nan
NA18576	CHB	EAS	nan
NA18577	CHB	EAS	nan
NA18579	CHB	EAS	nan
NA18582	CHB	EAS	nan
NA18591	CHB	EAS	unrel
NA18592	CHB	EAS	nan
NA18593	CHB	EAS	nan
NA18595	CHB	EAS	nan
NA18596	CHB	EAS	nan
NA18597	CHB	EAS	nan
NA18599	CHB	EAS	nan
NA18602	CHB	EAS	nan
NA18603	CHB	EAS	nan
NA18605	CHB	EAS	nan
NA18606	CHB	EAS	nan
NA18608	CHB	EAS	nan
NA18609	CHB	EAS	nan
NA18610	CHB	EAS	nan
NA18611	CHB	EAS	nan
NA18612	CHB	EAS	nan
NA18613	CHB	EAS	nan
NA18614	CHB	EAS	nan
NA18615	CHB	EAS	nan
NA18616	CHB	EAS	nan
NA18617	CHB	EAS	nan
NA18618	CHB	EAS	nan
NA18619	CHB	EAS	nan
NA18620	CHB	EAS	nan
NA18621	CHB	EAS	nan
NA18622	CHB	EAS	nan
NA18623	CHB	EAS	nan
NA18624	CHB	EAS	nan
NA18625	CHB	EAS	nan
NA18626	CHB	EAS	nan
NA18627	CHB	EAS	nan
NA18628	CHB	EAS	nan
NA18629	CHB	EAS	unrel
NA18630	CHB	EAS	nan
NA18631	CHB	EAS	nan
NA18632	CHB	EAS	nan
NA18633	CHB	EAS	nan
NA18634	CHB	EAS	nan
NA18635	CHB	EAS	nan
NA18636	CHB	EAS	nan
NA18637	CHB	EAS	nan
NA18638	CHB	EAS	nan
NA18639	CHB	EAS	nan
NA18640	CHB	EAS	nan
NA18641	CHB	EAS	nan
NA18642	CHB	EAS	nan
NA18643	CHB	EAS	nan
NA18644	CHB	EAS	unrel
NA18645	CHB	EAS	nan
NA18646	CHB	EAS	unrel
NA18647	CHB	EAS	nan
NA18648	CHB	EAS	unrel
NA18740	CHB	EAS	nan
